npsn,name,address,village,kecamatan,lat,lng,jenjang,student_count,st_male,st_female
69974744,KB AL-MAHMUDIN,KP. SINDANG LANGON,Cimareme,Banyuresmi,,,PAUD,27,13,14
69867628,KB AL-MUAROFAH,KP.CIKAROKROK,Sukasenang,Banyuresmi,,,PAUD,30,11,19
70044961,KB Al-Uswah,Kp. Jager,Sukaratu,Banyuresmi,,,PAUD,27,15,12
69827124,KB AN-NUUR,SERUT,Pamekarsari,Banyuresmi,,,PAUD,39,27,12
69827247,KB ANUGRAH,KP. NGOMPOD RT 03/02,Pamekarsari,Banyuresmi,,,PAUD,36,16,20
69936204,KB ASSADILIYAH,Jl. Hasan Arief Kp. Cibeureum RT 03/06,Sukaratu,Banyuresmi,,,PAUD,44,22,22
69827288,KB ASSALAM,KP. BABAKAN PANJANG,Sukasenang,Banyuresmi,,,PAUD,31,13,18
69867445,KB AT-TAQWA,PANYALU,Binakarya,Banyuresmi,,,PAUD,20,8,12
69867436,KB ATSSANIATUL ANWAR,KP. LEUWEUNG TIIS,Sukaraja,Banyuresmi,,,PAUD,28,11,17
69972002,KB BAITUL IKHLAS SUKARAJA,KP. ANDIR RT. 03 RW. 05,Sukaraja,Banyuresmi,,,PAUD,29,13,16
69972000,KB BAITURRAHMAN,KP. KOROMOY RT. 02 RW. 03,Sukaratu,Banyuresmi,,,PAUD,22,13,9
69867437,KB BANI RAHMAT,KP. BABAKAN,Sukakarya,Banyuresmi,,,PAUD,9,5,4
69827301,KB BUNGA ASTER,KP. CANGKUANG,Bagendit,Banyuresmi,,,PAUD,31,20,11
69974759,KB CENDANA,Kp. Babakan Loa RT.04/RW.01,Karyamukti,Banyuresmi,,,PAUD,26,13,13
69827208,KB DARUL IHSAN,KP. KAUM,Sukasenang,Banyuresmi,,,PAUD,0,0,0
69911510,KB GOTONG ROYONG,Kp. Babakan Wetan RT 03 RW 03 Kecamatan Banyuresmi,Sukakarya,Banyuresmi,,,PAUD,32,11,21
69867448,KB HARAPAN BUNDA,JALAN JATI,Dangdeur,Banyuresmi,,,PAUD,0,0,0
69878165,KB HUDATUL UMMAH,RANCAPARI RT 01 RW 02,Bagendit,Banyuresmi,,,PAUD,7,4,3
69968059,KB INSAN MANDIRI,KP. CIBUNUANG RT. 01 RW. 09,Bagendit,Banyuresmi,,,PAUD,35,17,18
